,Unnamed: 0,artist,title,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity,top year,hip_hop,other,pop,rap,rock,group,solo
118,145,Jason Aldean,Dirt Road Anthem,127,74,68,-5,12,64,229,35,4,77,2011,0,1,0,0,0,0,1
119,146,Jason Derulo,It Girl,92,72,67,-5,10,35,192,2,6,76,2011,0,0,1,0,0,0,1
120,147,Jason Derulo,Don't Wanna Go Home,122,81,67,-5,13,64,206,2,7,68,2011,0,0,1,0,0,0,1
121,148,Jennifer Lopez,On The Floor,130,78,73,-5,7,57,285,11,5,84,2011,0,0,1,0,0,0,1
122,150,Jessie J,Do It Like A Dude,140,84,66,-4,36,38,195,5,5,53,2011,0,0,1,0,0,0,1
123,152,Katy Perry,Last Friday Night (T.G.I.F.),126,82,65,-4,67,77,231,0,4,80,2011,0,0,1,0,0,0,1
124,153,Katy Perry,Firework,124,83,64,-5,11,65,228,14,5,72,2011,0,0,1,0,0,0,1
125,157,Kesha,We R Who We R,120,82,74,-5,12,65,205,1,4,77,2011,0,0,1,0,0,0,1
126,158,Kesha,Blow,120,73,75,-4,7,81,220,0,4,75,2011,0,0,1,0,0,0,1
127,160,Lady A,Just A Kiss,143,64,59,-6,10,33,219,45,3,69,2011,0,1,0,0,0,1,0
128,161,Lady Gaga,Born This Way,124,83,59,-5,33,49,260,0,16,73,2011,0,0,1,0,0,0,1
129,162,Lady Gaga,The Edge Of Glory,128,77,58,-7,11,36,321,0,4,68,2011,0,0,1,0,0,0,1
130,165,LMFAO,Party Rock Anthem,130,73,75,-4,27,36,262,2,14,74,2011,0,0,1,0,0,1,0
131,166,LMFAO,Sexy And I Know It,130,86,71,-4,19,80,199,10,32,68,2011,0,0,1,0,0,1,0
132,168,Lykke Li,I Follow Rivers - The Magician Remix,122,70,79,-6,8,30,280,2,4,67,2011,0,0,1,0,0,0,1
133,172,Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",128,76,72,-4,31,62,201,1,5,75,2011,0,0,1,0,0,1,0
134,173,Miguel,Sure Thing,81,61,68,-8,19,50,195,3,10,84,2011,0,0,1,0,0,0,1
135,175,Nicki Minaj,Super Bass,127,86,72,-4,60,67,200,27,20,83,2011,0,0,1,0,0,0,1
136,176,Noah And The Whale,L.I.F.E.G.O.E.S.O.N.,82,75,60,-6,35,61,228,21,4,63,2011,0,1,0,0,0,1,0
137,177,Olly Murs,Heart Skips a Beat (feat. Rizzle Kicks),111,88,84,-4,8,88,202,14,6,66,2011,0,0,1,0,0,0,1
138,178,OneRepublic,Good Life,95,69,63,-8,13,65,253,8,5,78,2011,0,0,1,0,0,1,0
139,179,P!nk,Raise Your Glass,122,71,70,-5,3,62,203,0,8,81,2011,0,0,1,0,0,0,1
140,180,Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",129,94,67,-3,30,53,252,19,16,86,2011,0,0,1,0,0,0,1
141,181,Pitbull,Hey Baby (Drop It to the Floor) (feat. T-Pain),128,91,60,-3,26,76,234,4,9,76,2011,0,0,1,0,0,0,1
142,183,Red Hot Chili Peppers,The Adventures of Rain Dance Maggie,106,73,68,-5,26,58,282,0,3,71,2011,0,0,0,0,1,1,0
143,184,Rihanna,S&M,128,68,77,-5,9,84,244,1,4,82,2011,0,0,1,0,0,0,1
144,185,Rihanna,We Found Love,128,77,74,-4,11,60,215,3,4,80,2011,0,0,1,0,0,0,1
145,186,Rihanna,What's My Name?,100,78,69,-3,8,56,263,18,7,75,2011,0,0,1,0,0,0,1
146,187,Rizzle Kicks,Down With The Trumpets,115,88,75,-5,24,79,187,9,8,65,2011,1,0,0,0,0,1,0
147,189,Selena Gomez & The Scene,Love You Like A Love Song,117,68,86,-4,7,92,188,8,5,85,2011,0,0,1,0,0,1,0
148,190,Selena Gomez & The Scene,Who Says,101,93,68,-3,15,74,196,8,5,81,2011,0,0,1,0,0,1,0
149,191,Snoop Dogg,Sweat - Remix,130,73,81,-6,8,73,196,6,3,73,2011,0,1,0,0,0,0,1
150,192,Swedish House Mafia,Save The World,127,67,51,-8,8,40,213,1,5,70,2011,0,0,1,0,0,1,0
151,194,The Band Perry,If I Die Young,131,50,61,-7,28,36,223,35,3,74,2011,0,1,0,0,0,1,0
152,195,The Wanted,Glad You Came,127,85,72,-4,11,45,198,3,6,83,2011,0,1,0,0,0,1,0
153,196,Usher,More - RedOne Jimmy Joker Remix,125,89,55,-3,35,79,220,0,5,72,2011,1,0,0,0,0,0,1
154,197,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),131,60,76,-6,24,36,264,1,4,81,2011,1,0,0,0,0,0,1
155,199,Wiz Khalifa,Roll Up,125,81,52,-5,9,60,228,5,19,68,2011,0,0,1,0,0,0,1
156,200,Adele,Skyfall,76,55,35,-7,11,8,286,42,3,80,2012,0,1,0,0,0,0,1
157,201,Adele,Rumour Has It,120,75,61,-5,17,57,223,62,4,72,2012,0,1,0,0,0,0,1
158,202,Alesso,Years,128,82,37,-6,17,32,195,0,8,53,2012,0,0,1,0,0,0,1
159,203,Alex Clare,Too Close,126,71,58,-4,11,29,257,1,4,67,2012,0,0,0,0,1,0,1
161,206,Asaf Avidan,One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,119,67,83,-6,17,53,215,22,6,72,2012,0,0,1,0,0,0,1
162,207,Avicii,Levels - Radio Edit,126,89,58,-6,31,46,200,5,3,82,2012,0,0,1,0,0,0,1
163,208,Avicii,Silhouettes - Original Radio Edit,128,80,61,-6,12,84,212,16,5,68,2012,0,0,1,0,0,0,1
164,209,Azealia Banks,212,126,77,85,-6,8,62,205,1,26,73,2012,0,0,1,0,0,0,1
165,210,B.o.B,So Good,86,90,66,-5,22,59,213,4,14,70,2012,1,0,0,0,0,0,1
166,212,Bruno Mars,It Will Rain,150,84,58,-7,8,48,258,34,5,74,2012,0,0,1,0,0,0,1
167,213,Calvin Harris,Feel So Close - Radio Edit,128,92,71,-3,20,92,206,0,3,85,2012,0,0,1,0,0,0,1
168,214,Calvin Harris,Let's Go (feat. Ne-Yo),128,88,71,-3,29,88,233,1,6,71,2012,0,0,1,0,0,0,1
169,215,Calvin Harris,We'll Be Coming Back (feat. Example),128,95,60,-4,60,57,234,0,9,68,2012,0,0,1,0,0,0,1
170,216,Carly Rae Jepsen,Call Me Maybe,120,58,78,-7,11,66,193,1,4,76,2012,0,0,1,0,0,0,1
171,217,Carrie Underwood,Blown Away,137,84,53,-3,3,39,240,9,4,68,2012,0,1,0,0,0,0,1
172,218,Cher Lloyd,Want U Back,98,89,69,-3,56,56,215,6,9,71,2012,0,0,1,0,0,0,1
173,219,Chris Brown,Turn Up the Music,130,84,59,-6,16,64,228,0,10,69,2012,0,0,1,0,0,0,1
174,221,Coldplay,Princess of China,85,69,42,-6,29,24,239,0,3,72,2012,0,1,0,0,0,1,0
175,222,David Guetta,Turn Me On (feat. Nicki Minaj),128,79,71,-2,57,41,200,5,6,64,2012,0,1,0,0,0,0,1
176,223,DEV,In The Dark,125,82,74,-4,33,44,226,0,7,62,2012,0,0,1,0,0,0,1
177,224,Disclosure,Latch,122,74,73,-5,9,54,256,2,9,75,2012,0,1,0,0,0,1,0
